command,syntax
ipv6 unicast-routing,"{'no ipv6 unicast-routing', 'ipv6 unicast-routing'}"
ipv6 unreachables,"{'ipv6 unreachables', 'no ipv6 unreachables'}"
iscsi enable,"{'iscsi enable', 'no iscsi enable'}"
iscsi flow,"{'no iscsi flow [default | {tcp-port [ip-address]}]', 'iscsi flow default | {tcp-port [ip-address]}'}"
iscsi qos,"{'no iscsi qos', 'iscsi qos {[vpt vpt] [dscp dscp] [queue queue]}'}"
jumbo-frame,"{'no jumbo-frame', 'jumbo-frame frame-size'}"
key (key chain),"{'key key-id', 'no key key-id'}"
key chain,"{'key chain name-of-chain', 'no key chain name-of-chain'}"
key-string,"{'key-string text', 'no key-string', 'key-string [row key-string]'}"
lacp port-priority,"{'no lacp port-priority', 'lacp port-priority value', 'lacp port-priority VALUE'}"
lacp system-priority,"{'lacp system-priority value', 'lacp system-priority VALUE', 'no lacp system-priority'}"
lacp timeout,"{'no lacp timeout', 'lacp timeout {long | short}'}"
lease,"{'no lease', 'lease days [hours [minutes] | infinite'}"
line,"{'line {console | telnet | ssh}', 'line {console | ssh | telnet}'}"
link-flap prevention,"{'link-flap prevention {enable | disable}', 'no link-flap prevention'}"
lldp chassis-id,"{'no lldp chassis-id', 'lldp chassis-id {mac-address | host-name}'}"
lldp hold-multiplier,"{'no lldp hold-multiplier', 'lldp hold-multiplier number'}"
lldp holdtime-multiplier,"{'lldp holdtime-multiplier number', 'no lldp holdtime-multiplier'}"
lldp lldpdu,"{'lldp lldpdu {filtering | flooding}', 'no lldp lldpdu', 'lldp lldpdu {bridging | filtering | flooding}'}"
lldp management-address,"{'lldp management-address {ip-address | none | automatic [interface-id]}', 'no lldp management-address'}"
lldp med,"{'lldp med {enable | disable}', 'lldp med {enable [tlv … tlv4] | disable}', 'no lldp med'}"
lldp med fast-start repeat-count,"{'lldp med fast-start repeat-count number', 'no lldp med fast-start repeat-count'}"
lldp med fast-start-repeat-count,"{'lldp med fast-start-repeat-count number', 'no lldp med fast-start-repeat-count'}"
lldp med location,"{'lldp med location {coordinate data} | {civic-address data} | {ecs-elin data}', 'no lldp med location {coordinate | civic-address | ecs-elin}', 'lldp med location {civic-address data | coordinate data | ecs-elin data}', 'no lldp med location {civic-address | coordinate | ecs-elin}'}"
lldp med network-policy (Global),"{'no lldp med network-policy number', 'lldp med network-policy number app {voice | voice-signaling | guest-voice | guest-voice-signaling | softphone-voice | streaming-video | video-conferencing | video-signaling} vlan vlan-id vlan-type { tag | untag } priority priority dscp value'}"
lldp med network-policy (global),"{'no lldp med network-policy number', 'lldp med network-policy number application [vlan vlan-id] [vlan-type {tagged | untagged}] [up priority] [dscp value]'}"
lldp med network-policy (interface),"{'no lldp med network-policy number', 'lldp med network-policy {add | remove} number'}"
lldp med network-policy voice auto,"{'no lldp med network-policy voice auto', 'lldp med network-policy voice auto'}"
lldp med notifications topology-change,"{'lldp med notifications topology-change {enable | disable}', 'no lldp med notifications topology-change'}"
lldp med tlv-select,"{'no lldp med tlv-select', 'lldp med tlv-select medtlv1 [medtlv2… medtlv4]'}"
lldp notifications,"{'lldp notifications {enable | disable}', 'no lldp notifications'}"
lldp notifications interval,"{'lldp notifications interval seconds', 'no lldp notifications interval'}"
lldp optional-tlv 802.1,"{'lldp optional-tlv 802.1 ppvid remove ppvid - The PPVID is not advertised.', 'lldp optional-tlv 802.1 protocol add {stp | rstp | mstp | pause | 802.1x | lacp | gvrp} - The protocols selected are advertised.', 'lldp optional-tlv 802.1 vlan add vlan-id - This vlan-id is advertised.', 'lldp optional-tlv 802.1 pvid {enable | disable} - The PVID is advertised or not advertised.', 'lldp optional-tlv 802.1 vlan remove vlan-id - This vlan-id is not advertised.', 'no lldp optional-tlv 802.1 pvid - The PVID advertise state is returned to default.', 'lldp optional-tlv 802.1 protocol remove {stp | rstp | mstp | pause | 802.1x | lacp | gvrp} - The protocols selected are not advertised.', 'lldp optional-tlv 802.1 ppvid add ppvid - The Protocol Port VLAN ID (PPVID) is advertised. The PPVID is the PVID that is used depending on the packet’s protocol.'}"
lldp receive,"{'no lldp receive', 'lldp receive'}"
lldp reinit,"{'no lldp reinit', 'lldp reinit seconds'}"
lldp run,"{'no lldp run', 'lldp run'}"
lldp timer,"{'lldp timer seconds', 'no lldp timer'}"
lldp tlv-select 802.1,"{'lldp tlv-select 802.1 pvid disable', 'lldp tlv-select 802.1 pvid enable', 'lldp tlv-select 802.1 vlan-name remove vlan-id', 'lldp tlv-select 802.1 vlan-name add vlan-id'}"
lldp tlv-select TLV,"{'lldp tlv-select TLV [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ]', 'no lldp tlv-select'}"
lldp transmit,"{'no lldp transmit', 'lldp transmit'}"
lldp tx-delay,"{'lldp tx-delay seconds', 'no lldp tx-delay'}"
log aggregation on,"{'logging aggregation on', 'no logging aggregation on'}"
logging aggregation aging-time,"{'logging aggregation aging-time sec', 'no logging aggregation aging-time'}"
logging aggregation on,"{'logging aggregation on', 'no logging aggregation on'}"
logging binding,"{'logging binding [enable | disable]', 'no logging binding'}"
logging buffered,"{'logging buffered [buffer-size] [severity-level | severity-level-name]', 'no logging buffered'}"
logging cbd level,"{'logging cbd level level', 'no logging cbd level'}"
logging cbd module,"{'logging cbd module {module [module2 … module6 ] | none | all}', 'no logging cbd module'}"
logging console,"{'no logging console', 'logging console level'}"
logging file,"{'no logging file', 'logging file level'}"
logging host,"{'no logging host {ipv4-address | ipv6-address | hostname}', 'logging host {ip-address | ipv6-address | hostname} [port port] [severity level] [facility facility] [description text]', 'logging host {ipv4-address | ipv6-address | hostname} [facility facility] [port port] [severity severity_level]', 'no logging host {ip-address | ipv6-address | hostname}'}"
logging on,"{'logging on', 'no logging on'}"
logging origin-id,"{'no logging origin-id', 'logging origin-id {hostname | IP | IPv6 | string user-defined-id}'}"
logging packet drop,"{'no logging packet drop', 'logging packet drop [enable | disable]'}"
logging source-interface,"{'logging source-interface interface-id', 'no logging source-interface'}"
logging source-interface-ipv6,"{'logging source-interface-ipv6 interface-id', 'no logging source-interface-ipv6'}"
login authentication,"{'login authentication {default | LISTNAME}', 'login authentication {default | list-name}', 'no login authentication'}"
login delay,"{'login delay seconds', 'no login delay'}"
login quiet-mode access-class,"{'login quiet-mode access-class name', 'no login quiet-mode access-class'}"
login-banner,"{'login-banner', 'no login-banner'}"
loopback-detection enable (Global),"{'loopback-detection enable', 'no loopback-detection enable'}"
loopback-detection enable (Interface),"{'loopback-detection enable', 'no loopback-detection enable'}"
loopback-detection interval,"{'loopback-detection interval seconds', 'no loopback-detection interval'}"
mac access-group in,"{'mac access-group acl-name in', 'no mac access-group in'}"
mac access-list,"{'mac access-list extended acl-name', 'no mac access-list extended acl-name'}"
mac access-list extended,"{'mac access-list extended acl-name', 'no mac access-list extended acl-name'}"
mac address-table aging-time,"{'mac address-table aging-time seconds', 'no mac address-table aging-time'}"
mac address-table static,"{'mac address-table static mac-address vlan vlan-id drop', 'no mac address-table static [mac-address] vlan vlan-id', 'mac address-table static mac-address vlan vlan-id interface interface-id [permanent | delete-on-reset | delete-on-timeout | secure]|', 'mac address-table static mac-address vlan vlan-id interfaces interface-id [delete-on-reboot | delete-on-timeout | permanent | secure]', 'no mac address-table static mac-address vlan vlan-id'}"
macro auto (Global),"{'macro auto {enabled | disabled | controlled}', 'no macro auto'}"
macro auto built-in parameters,"{'no macro auto built-in parameters smartport-type', 'macro auto built-in parameters smartport-type [parameter-name value [parameter-name value [parameter-name value]'}"
macro auto persistent,"{'macro auto persistent', 'no macro auto persistent'}"
macro auto processing cdp,"{'no macro auto processing cdp', 'macro auto processing cdp'}"
macro auto processing lldp,"{'no macro auto processing lldp', 'macro auto processing lldp'}"
macro auto processing type,"{'macro auto processing type smartport-type {enabled | disabled}', 'no macro auto processing type smartport-type'}"
macro auto smartport (Interface),"{'macro auto smartport', 'no macro auto smartport'}"
macro auto smartport type,"{'no macro auto smartport type', 'macro auto smartport type smartport-type [parameter-name value [parameter-name value [parameter-name value]'}"
macro auto user smartport macro,"{'no macro auto user smartport macro smartport-type', 'macro auto user smartport macro smartport-type user-defined-macro-name [parameter-name value [parameter-name value [parameter-name value]'}"
macro description,"{'macro description text', 'no macro description'}"
macro global description,"{'no macro global description', 'macro global description text'}"
macro name,"{'no macro name [macro-name]', 'macro name macro-name'}"
managed-config-flag,"{'no managed-config-flag', 'managed-config-flag {on | off | disable}'}"
management access-class,"{'management access-class {console-only | name}', 'no management access-class'}"
management access-list,"{'management access-list name', 'no management access-list name'}"
management vlan ip dhcp client,"{'management vlan ip dhcp client', 'no management vlan ip dhcp client'}"
management vlan ipv6 dhcp client information refresh,"{'management vlan ipv6 dhcp client information refresh {infinity | <86400-4294967294> }', 'no management vlan ipv6 dhcp client information refresh minimum', 'management vlan ipv6 dhcp client information refresh minimum {infinity | <600-4294967294> }', 'no management vlan ipv6 dhcp client information refresh'}"
management vlan ipv6 dhcp client stateless,"{'no management vlan ipv6 dhcp client stateless', 'management vlan ipv6 dhcp client stateless'}"
management vlan ipv6-address-autoconfig,"{'no management vlan ipv6-address-autoconfig', 'management vlan ipv6-address-autoconfig'}"
management vlan ipv6-address-dhcp,"{'management vlan ipv6-address-dhcp', 'no management vlan ipv6-address-dhcp'}"
map mac macs-group,"{'map mac mac-address {prefix-mask | host} macs-group group', 'no map mac mac-address {prefix-mask | host}'}"
map protocol protocols-group,"{'map protocol protocol [encapsulation-value] protocols-group group', 'no map protocol protocol [encapsulation]'}"
map subnet subnets-group,"{'no map subnet ip-address prefix-mask', 'map subnet ip-address prefix-mask subnets-group group'}"
match,"{'no match access-group acl-name', 'match access-group acl-name'}"
match ip address (Policy Routing),"{'match ip address access-list extended-access-list-name', 'no match ip address access-list'}"
match ipv6 address (Policy Routing),"{'match ipv6 address access-list extended-access-list-name', 'no match ipv6 address access-list'}"
match ra address,"{'match ra address {prefix-list ipv6-prefix-list-name} | disable', 'no match ra address'}"
match ra prefixes,"{'match ra prefixes {prefix-list ipv6-prefix-list-name} | disable', 'no match ra prefixes'}"
match reply,"{'match reply {prefix-list ipv6-prefix-list-name} | disable', 'no match reply'}"
match server address,"{'no match server address', 'match server address {prefix-list ipv6-prefix-list-name} | disable'}"
max-entries,"{'max-entries {[vlan-limit {number | disable}] [interface-limit {number | disable}] [mac-limit {number | disable}]}', 'no max-entries [vlan-limit] [interface-limit] [mac-limit]'}"
mdix,"{'mdix {on | auto}', 'no mdix'}"
mirror,"{'mirror session_number', 'no mirror'}"
monitor session destination,"{'monitor session session_number destination {interface interface-id [network]} | {remote vlan vlan-id reflector-port interface-id} network}', 'no monitor session session_number destination'}"
monitor session destination interface,"{'no monitor session session-number destination interface interface-id', 'monitor session session-number destination interface interface-id [allow-ingress-packet]'}"
monitor session destination remote-span,"{'no monitor session session-number destination remote-span', 'monitor session session-number destination remote-span vlan vlan-id reflector-interface interface-id'}"
monitor session source,"{'monitor session session_number source {interface interface-id [both | rx | tx]} | {vlan vlan-id} | {remote vlan vlan-id}', 'no monitor session [session_number] source [{interface interface-id} | {vlan vlan-id} | {remote vlan vlan-id}]'}"
monitor session source interfaces,"{'monitor session session-number source interfaces interface-id {both | rx | tx}', 'no monitor session session-number source vlan', 'monitor session session-number source vlan vlan-id', 'no monitor session session-number source interfaces interface-id {both | rx | tx}'}"
monitor session source remote-span,"{'monitor session session-number source remote-span vlan vlan-id', 'no monitor session session-number source remote-span'}"
name,"{'name string', 'no name'}"
name (MST),"{'name string', 'no name'}"
name (vlan),"{'name string', 'no name'}"
negotiation,"{'no negotiation', 'negotiation [capability [capability2. capability5] [preferred {master | slave}]'}"
netbios-name-server,"{'no netbios-name-server', 'netbios-name-server ip-address [ip-address2 . ip-address8]'}"
netbios-node-type,"{'netbios-node-type {b-node | p-node | m-node | h-node}', 'no netbios-node-type'}"
network,"{'network ip-address [shutdown]', 'no network ip-address'}"
next-server,"{'next-server ip-address', 'no next-server'}"
next-server-name,"{'no next-server-name', 'next-server-name name'}"
operation time,"{'operation time time-range-name', 'no operation time'}"
operation time-range,"{'no operation time-range', 'operation time-range NAME'}"
option,"{'option code {boolean {false | true} | integer value | ascii string | hex {string | none} | ip {address} | ip-list {ip-address1 [ip-address2 …]} [description text]', 'no option code'}"
other-config-flag,"{'other-config-flag {on | off | disable}', 'no other-config-flag'}"
passive-interface (RIP),"{'no passive-interface', 'passive-interface'}"
passphrase,"{'no passphrase', 'passphrase {passphrase}', 'encrypted passphrase {encrypted-passphrase}'}"
password,"{'password password', 'no password', 'encrypted password encrypted-password', 'password generate-password [method hash-method]', 'password {unencrypted-password [method hash-method] | encrypted-password encrypted}'}"
password complexity history,"{'passwords complexity history number', 'no passwords complexity history'}"
passwords aging,"{'no passwords aging', 'passwords aging days'}"
passwords complexity,"{'no passwords complexity min-length | min-classes | no-repeat | not-current | not-username | not-manufacturer-name', 'passwords complexity {min-length number} | {min-classes number} | {no-repeat number} | not-current | not-username | not-manufacturer-name'}"
passwords complexity attributes,"{'passwords complexity not-current', 'no passwords complexity min-classes', 'no password complexity no-repeat', 'passwords complexity not-username', 'passwords complexity min-length number', 'no passwords complexity not-current', 'passwords complexity no-repeat number', 'no passwords complexity min-length', 'passwords complexity min-classes number', 'no passwords complexity not-username'}"
passwords complexity enable,"{'passwords complexity enable', 'no passwords complexity enable'}"
periodic,"{'periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM', 'periodic list hh:mm to hh:mm all', 'no periodic list hh:mm to hh:mm all', 'periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'no periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM', 'no periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM', 'periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'no periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'no periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'no periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM'}"
permit ( IP ),"{'no permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]'}"
permit ( IPv6 ),"{'permit tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number][time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit tcp {any | {source-prefix/length} {any | source-port}{any | destination- prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]'}"
permit ( MAC ),"{'no permit {any | source source-wildcard} {any | destination destination-wildcard} [eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', 'permit {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', '[log-input]'}"
permit (IP),"{'no sequence value', '[sequence value] permit icmp {any | source source-wildcard } {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number]', '[sequence value] permit protocol {any | source source-wildcard } {any | destination destination-wildcard } [dscp number | precedence number]', '[sequence value] permit udp {any | source source-wildcard } {any | source-port/port-range } {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number]', '[sequence value] permit tcp {any | source source-wildcard } {any | source-port/port-range} {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number ] [match-all list-of-flags]'}"
permit (IPv6),"{'[sequence value] permit udp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ]', 'no sequence value', '[sequence value] permit protocol {any | source-prefix/length } {any | destination- prefix/length } [dscp number | precedence number ]', '[sequence value] permit icmp {any | {source-prefix/length } {any | destination- prefix/length } {any | icmp-type } {any | icmp-code } [dscp number | precedence number]', '[sequence value] permit tcp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags]'}"
permit (MAC),"{'[sequence value] permit {any | source source-wildcard} {any | destination destination-wildcard} [any | vlan vlan-id] [cos cos cos-wildcard] [ethtype value]', 'no sequence value'}"
permit (Management),"{'[sequence sequence-number] permit {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service', 'permit ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]', 'permit [interface-id] [service service]', '[sequence sequence-number] permit interfaces interface-id service service'}"
ping,"{'ping [ip] {ipv4-address | hostname} [size packet_size] [count packet_count] [timeout time_out] [source source-address]', 'ping ipv6 {ipv6-address | hostname} [size packet_size] [count packet_count] [timeout time_out] [source source-address]', 'ping ipv6 {ipv6-address | hostname} [count packet_count]', 'ping ip {ipv4-address | hostname} [count packet_count]'}"
pnp device,"{'encrypted pnp device username username password encrypted-password', 'pnp device username username password password', 'no pnp device'}"
pnp discovery timeout,"{'no pnp discovery timeout', 'pnp discovery timeout timeout exponential-factor max-timeout'}"
pnp enable,"{'pnp enable', 'no pnp enable'}"
pnp reconnect interval,"{'no pnp reconnect interval', 'pnp reconnect interval timeout'}"
pnp transport,"{'no pnp transport', 'pnp transport {http | https} ip-address [port port-number]'}"
pnp watchdog timeout,"{'pnp watchdog timeout timeout', 'no pnp watchdog timeout'}"
police,"{'police committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'police committed-rate-kbps [exceed-action {drop | forward}]', 'no police'}"
police aggregate,"{'no police aggregate aggregate-policer-name', 'no police aggregate', 'police aggregate aggregate-policer-name'}"
policy-map,"{'policy-map policy-map-name', 'no policy-map policy-map-name'}"
port jumbo-frame,"{'port jumbo-frame', 'no port jumbo-frame'}"
port leds enable,"{'no port leds enable', 'port leds enable'}"
port security,"{'port security [forward | discard | discard-shutdown] [trap seconds]', 'no port security'}"
port security max,"{'no port security max', 'port security max max-addr'}"
port security mode,"{'port security mode {max-addresses | lock | secure permanent | secure delete-on-reset}', 'no port security mode'}"
port security routed secure-address,"{'no port security routed secure-address mac-address', 'port security routed secure-address mac-address'}"
port-channel load-balance,"{'no port-channel load-balance', 'port-channel load-balance {src-dst-mac | src-dst-mac-ip}'}"
power inline,"{'power inline auto [time-range NAME]', 'power inline never', 'power inline auto [time-range time-range-name]'}"
power inline four-pair forced,"{'no power inline four-pair forced', 'power inline four-pair forced'}"
power inline inrush test disable,"{'power inline inrush test disable', 'no power inline inrush test disable'}"
power inline legacy enable,"{'no power inline legacy enable', 'power inline legacy enable'}"
power inline legacy support disable,"{'power inline legacy support disable', 'no power inline legacy support disable'}"
power inline limit,"{'no power inline limit', 'power inline limit power'}"
power inline limit-mode,"{'no power inline limit-mode', 'power inline limit-mode {class | port}'}"
power inline negotiation,"{'no power inline negotiation', 'power inline negotiation {none | all}'}"
power inline powered-device,"{'no power inline powered-device', 'power inline powered-device pd-type'}"
power inline priority,"{'no power inline priority', 'power inline priority {critical | high | low}'}"
power inline traps enable,"{'power inline traps enable', 'no power inline traps enable'}"
power inline usage-threshold,"{'power inline usage-threshold percent', 'no power inline usage-threshold'}"
preference,"{'no preference [maximum] [minimum]', 'preference {[maximum {value | disable}] [minimum {value | disable}]}'}"
priority-queue out num-of-queues,"{'priority-queue out num-of-queues number-of-queues', 'no priority-queue out num-of-queues'}"
private-vlan,"{'no private-vlan', 'private-vlan {primary | community | isolated}'}"
private-vlan association,"{'private-vlan association [add | remove] secondary-vlan-list', 'no private-vlan association'}"
privilege-level,"{'privilege-level level', 'no privilege-level'}"
profile range,"{'profile range ipv6 ipv6-range action {deny | permit}', 'profile range ip ip-range action {permit | deny}'}"
qos,"{'qos [basic | {advanced [ports-not-trusted | ports-trusted]}]', 'no qos', 'qos [basic | advanced [ports-not-trusted | ports-trusted]'}"
qos advanced-mode trust,"{'qos advanced-mode trust {cos | cos-dscp | dscp | ip-precedence}', 'no qos advanced-mode trust', 'qos advanced-mode trust {cos | dscp | cos-dscp}'}"
qos aggregate-policer,"{'no qos aggregate-policer aggregate-policer-name', 'qos aggregate-policer name committed-rate-kbps [exceed-action {drop | forward}]', 'qos aggregate-policer aggregate-policer-name committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'no qos aggregate-policer name'}"
qos cos,"{'no qos cos', 'qos cos default-cos'}"
qos dscp-mutation,"{'qos dscp-mutation', 'no qos dscp-mutation'}"
qos map dscp-queue,"{'qos map dscp-queue dscp-list to queue-id', 'no qos map dscp-queue [dscp-list]'}"
qos map policed-dscp,"{'qos map policed-dscp [violation] dscp-list to dscp-mark-down', 'no qos map policed-dscp [violation] [dscp-list]'}"
qos remark,"{'qos remark {cos | dscp | ip-precedence}', 'no qos remark {cos | dscp | ip-precedence}'}"
qos statistics aggregate-policer,"{'no qos statistics aggregate-policer aggregate-policer-name', 'qos statistics aggregate-policer aggregate-policer-name'}"
qos statistics policer,"{'no qos statistics policer policy-map-name class-map-name', 'qos statistics policer policy-map-name class-map-name'}"
qos trust (Global),"{'qos trust {cos | cos-dscp | dscp | ip-precedence}', 'qos trust {cos | dscp| cos-dscp}', 'no qos trust'}"
qos trust (Interface),"{'qos trust', 'no qos trust'}"
qos wrr-queue wrtd,"{'qos wrr-queue wrtd', 'no qos wrr-queue wrtd'}"
radius server accounting-port,"{'radius server accounting-port udp-port', 'no radius server accounting-port'}"
radius server authentication-port,"{'radius server authentication-port udp-port', 'no radius server authentication-port'}"
radius server enable,"{'radius server enable', 'no radius server enable'}"
radius server group,"{'radius server group group-name', 'no radius server group [group-name]'}"
radius server nas secret,"{'radius server nas secret ip-address', 'no radius server nas secret [default | ip-address]', 'radius server nas secret key key {default | ip-address}', 'encrypted radius server nas secret key encrypted-key {default | ip-address}'}"
radius server traps accounting,"{'radius server traps accounting', 'no radius server traps accounting'}"
radius server traps authentication success,"{'radius server traps authentication success', 'no radius server traps authentication success'}"
radius server user,"{'encrypted radius server user username user-name group group-name passwordencrypted-password', 'radius server user username user-name group group-name password unencrypted-password', 'no radius server user [username user-name | group group-name]'}"
radius-server deadtime,"{'no radius-server deadtime', 'radius-server deadtime deadtime'}"
radius-server default-param,"{'radius-server default-param [key RADIUSKEY] [retransmit retries] [timeout timeout]', 'no radius-server default-param'}"
radius-server host,"{'no radius-server host {ip-address | hostname}', 'encrypted radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key encrypted-key-string] [priority priority] [usage {login | dot1.x | all}]', 'radius-server host {ip-address | hostname} [acct-port acct-port-number] [auth-port auth-port-number] [key key-string] [priority priority] [retransmit retries] [timeout timeout] [usg-type {802.1x | all | login}]', 'radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key key-string] [priority priority] [usage {login | dot1.x | all}]', 'no radius-server host hostname'}"
radius-server host source-interface,"{'radius-server host source-interface interface-id', 'no radius-server host source-interface'}"
radius-server host source-interface-ipv6,"{'no radius-server host source-interface-ipv6', 'radius-server host source-interface-ipv6 interface-id'}"
radius-server key,"{'radius-server key [key-string]', 'no radius-server key', 'encrypted radius-server key [encrypted-key-string]'}"
radius-server retransmit,"{'radius-server retransmit retries', 'no radius-server retransmit'}"
radius-server timeout,"{'radius-server timeout timeout-seconds', 'no radius-server timeout'}"
rate-limit (Ethernet),"{'no rate-limit', 'rate-limit committed-rate-kbps [burst committed-burst-bytes]'}"
rate-limit (Interface),"{'no rate-limit', 'rate-limit committed-rate-kbps'}"
rate-limit (VLAN),"{'rate-limit committed-rate vlan vlan-id', 'no rate-limit vlan vlan-id'}"
rate-limit vlan,"{'rate-limit vlan vlan-id committed-rate committed-burst-bytes', 'no rate-limit vlan vlan-id'}"
redirect,"{'redirect interface-id', 'no redirect'}"
redistribute (RIP),"{'redistribute protocol [metric {metric-value | transparent}]', 'no redistribute protocol'}"
reload,"{'reload [in [hhh:mm | mmm] | at hh:mm [day month] | cancel]', 'reload cancel', 'reload'}"
remote-span,"{'no remote-span', 'remote-span'}"
revision (MST),"{'no revision', 'revision value'}"
